장소,지역,주소,구분,위도,경도,전화번호,홈페이지,제한조건
스포독,해운대구,부산광역시 해운대구 재송동 1220,식당/카페,35.17658669,129.12649,0507-1359-1972,https://spodog.modoo.at/,없음
테리몽하우스 카페,해운대구,부산광역시 해운대구 좌동 1465-4,식당/카페,35.17086699,129.1764,051-747-6908,https://www.instagram.com/terrymong_,없음
슈슈퍼피,해운대구,부산광역시 해운대구 좌동 855,식당/카페,35.17383857,129.172326,051-702-6754,,없음
해운대영무파라드호텔 반려견전용층보유,해운대구,부산광역시 해운대구 중동 1124-8,숙소,35.16089963,129.166482,0507-1445-0124,https://ymparade.kr/kor/index.do,10kg 이하
카페 리뽀,해운대구,부산광역시 해운대구 중동 1491-15,식당/카페,35.15779713,129.181759,051-913-3379,https://www.instagram.com/cafe_ribbo/?igshid=skogrrdvom4l,없음
더소가카페 달맞이점,해운대구,부산광역시 해운대구 중동 1499-13,식당/카페,35.16378,129.156363,0507-1389-4047,http://www.thesoga.co.kr/,없음
앨리스,해운대구,부산광역시 해운대구 중동 593-2,식당/카페,35.16056993,129.191322,070-8866-4573,https://www.instagram.com/alice_donut_00/,없음
필리필리,강남,서울특별시 강남구 논현동 108,식당/카페,37.51845805,127.038023,02-518-8188,https://www.instagram.com/phillyphilly_seoul,없음
댕그라미 애견카페,강남,서울특별시 강남구 논현동 170,식당/카페,37.50832105,127.027203,0507-1301-3595,https://blog.naver.com/mungmung8844,없음
마이티그루밍,강남,서울특별시 강남구 논현동 191-16,식당/카페,37.50851375,127.032936,0507-1323-9718,https://www.instagram.com/mightygrooming,없음
애니멀고파크 논현점,강남,서울특별시 강남구 논현동 256-14,식당/카페,37.51356096,127.039785,0507-1378-4939,https://animalgopark.co.kr/,없음
전설의강아지,강남,서울특별시 강남구 논현동 265-23,식당/카페,37.51201752,127.041166,,https://www.instagram.com/junsuldog_official,없음
모스가든,강남,서울특별시 강남구 논현동 30-6,식당/카페,37.51668679,127.028327,02-546-8532,,없음
카페엔바이콘 카페,강남,서울특별시 강남구 논현동 4-18,식당/카페,37.51718945,127.022974,0507-1434-8522,http://nbicorn.com/,없음
반려문화,강남,서울특별시 강남구 논현동 85-13,식당/카페,37.51596415,127.03329,0507-1389-6100,https://banstory.modoo.at/,없음
블랙노우즈 카페,강남,서울특별시 강남구 대치동 907-15,식당/카페,37.50079968,127.051008,0507-1382-6503,,없음
에스피온,강남,서울특별시 강남구 대치동 916,식당/카페,37.50116337,127.055313,0507-1467-9311,http://instagram.com/esp.on__,없음
메이킷,강남,서울특별시 강남구 삼성동 127-9,식당/카페,37.50961727,127.054664,070-8623-9333,http://www.instagram.com/makit_cafe,없음
빈터커피바,강남,서울특별시 강남구 신사동 524,식당/카페,37.52207063,127.021067,0507-1399-6006,https://www.instagram.com/vinter_coffee_bar/,없음
바잇미,강남,서울특별시 강남구 신사동 525-22,식당/카페,37.52256677,127.021258,070-7766-1824,https://www.instagram.com/cafe_biteme/,없음
겟썸커피,강남,서울특별시 강남구 신사동 551-32,식당/카페,37.5224347,127.024464,070-4223-3619,http://instagram.com/get.some.coffee,없음
딜라이트리,강남,서울특별시 강남구 신사동 642-6,식당/카페,37.5268616,127.036617,02-545-9927,http://www.forestbreath.kr,없음
도어401,강남,서울특별시 강남구 신사동 661-13,식당/카페,37.52748109,127.03901,02-6104-4017,https://www.instagram.com/door401_seoul/,없음
다독인더시티,강남,서울특별시 강남구 역삼동 608-23,식당/카페,37.50461632,127.034044,02-516-9650,http://www.dadogg.com/,없음
에이아이,강남,서울특별시 강남구 역삼동 616-4,식당/카페,37.50367855,127.027484,070-8158-2588,,소형
알베르,강남,서울특별시 강남구 역삼동 618-11,식당/카페,37.50305653,127.028103,02-566-6181,http://instagram.com/alver_coffee,없음
국기원,강남,서울특별시 강남구 역삼동 635,관광지,37.50251536,127.030391,02-567-1058,www.kukkiwon.or.kr,소형/중형
두젠틀,강남,서울특별시 강남구 역삼동 667-10,식당/카페,37.50411917,127.035807,02-6259-1436,https://www.dogentle.com/,없음
정다방 카페,강남,서울특별시 강남구 역삼동 725-51,식당/카페,37.49925201,127.040044,02-6243-6008,,없음
더왈츠,강남,서울특별시 강남구 역삼동 834-8,식당/카페,37.49411114,127.034316,02-564-0927,https://www.instagram.com/cafe.the.walz/,소형/중형
율현공원,강남,서울특별시 강남구 율현동 77-2,관광지,37.47252883,127.115295,02-459-9452,https://parks.seoul.go.kr/parks/detailView.do?pIdx=1381,없음
더포트,강남,서울특별시 강남구 청담동 130-23,식당/카페,37.52521703,127.055506,02-511-2008,,없음
카페미미콩,강동,서울특별시 강동구 둔촌동 39,식당/카페,37.53189543,127.144544,02-470-7979,https://www.instagram.com/cafe_mimicong/,없음
애견샵서울리버티벨,강동,서울특별시 강동구 둔촌동 486-7,식당/카페,37.53174182,127.138141,02-487-0955,http://blog.naver.com/liberty_bell,없음
일자산자연공원,강동,서울특별시 강동구 둔촌동 산 140,관광지,37.53301963,127.151356,02-3425-6443,https://parks.seoul.go.kr/parks/detailView.do?pIdx=112,없음
카페 어질리티,강동,서울특별시 강동구 성내동 428-5,식당/카페,37.52739525,127.135616,0507-1360-1355,http://www.instagram.com/cafe_agility,소형/중형
썸이프,강동,서울특별시 강동구 성내동 438-4,식당/카페,37.52492334,127.132452,02-470-7711,,없음
포포앤미루 강동점,강동,서울특별시 강동구 성내동 439-10,식당/카페,37.52526883,127.134245,02-471-8825,http://blog.naver.com/popomiru8825,없음
커피에반하다 강동성내점,강동,서울특별시 강동구 성내동 50-26,식당/카페,37.53709752,127.126166,02-2135-6884,https://coffeebanhada.com/,없음
카페문나잇,강북구,서울특별시 강북구 미아동 121-47,식당/카페,37.62613743,127.027145,070-4046-0915,http://cafemoonight.modoo.at,없음
번동숲속카페,강북구,서울특별시 강북구 번동 312-1,식당/카페,37.62958215,127.039112,0507-1407-5426,http://instagram.com/forest_cafe_bd,없음
리리앤펫,강북구,서울특별시 강북구 번동 415-1,식당/카페,37.63792536,127.026891,02-6368-4473,http://www.facebook.com/RIRInPET,없음
앵두나무카페,강북구,서울특별시 강북구 번동 526-83,식당/카페,37.6331589,127.029817,02-773-2517,http://instagram.com/aengdunamu_cafe,없음
북서울꿈의숲,강북구,서울특별시 강북구 번동 90,관광지,37.62025446,127.044325,02-2289-4001,http://parks.seoul.go.kr/template/sub/dreamforest.do,없음
와이낫,강북구,서울특별시 강북구 수유동 134-64,식당/카페,37.63592644,127.020073,0507-1470-5911,https://www.instagram.com/ynot.kr,없음
카페 달세뇨,강북구,서울특별시 강북구 수유동 134-67,식당/카페,37.63597462,127.020239,0507-1323-0429,https://instagram.com/cafe_dalsegno,없음
오성리,강북구,서울특별시 강북구 수유동 482-34,식당/카페,37.62939777,127.017455,02-988-6272,https://www.instagram.com/cafe_5sungri/,없음
오늘맑음,강북구,서울특별시 강북구 수유동 535-173,식당/카페,37.6442841,127.005668,02-6465-6460,,없음
고양이정원,강서구,서울특별시 강서구 개화동 559-49,식당/카페,37.57570577,126.803165,02-2665-4507,http://www.catlover-garden.com/,없음
커멍커멍,강서구,서울특별시 강서구 마곡동 794-1,식당/카페,37.56009264,126.838304,0507-1435-5949,http://instagram.com/come_mung_official,없음
펫티 애견카페,강서구,서울특별시 강서구 마곡동 800-4,식당/카페,37.55866871,126.832173,0507-1333-0043,https://www.instagram.com/pet_t_cafe,소형
서울식물원,강서구,서울특별시 강서구 마곡동 812,관광지,37.57224441,126.832843,02-2104-9716,https://botanicpark.seoul.go.kr/front/main.do,없음
강서 한강공원,강서구,서울특별시 강서구 방화동 47,관광지,37.58604147,126.817145,02-3780-0621,https://hangang.seoul.go.kr/archives/46788,없음
강아지정류장,강서구,서울특별시 강서구 염창동 250-8,식당/카페,37.54992339,126.874825,02-3662-1207,http://www.instagram.com/puppy__station,없음
노블도그 애견카페,강서구,서울특별시 강서구 화곡동 1013,식당/카페,37.54686698,126.835883,02-2606-0456,https://www.instagram.com/nobledogcafe,없음
멍멍이 다방,강서구,서울특별시 강서구 화곡동 1068-24,식당/카페,37.54044768,126.834881,070-7563-0304,http://cafe.naver.com/mongmongdabang,없음
OMW 애견카페,강서구,서울특별시 강서구 화곡동 107-13,식당/카페,37.54199949,126.842614,0507-1332-4725,https://www.instagram.com/omw_family/,없음
카카오독 애견카페,강서구,서울특별시 강서구 화곡동 782-11,식당/카페,37.53079464,126.86329,0507-1402-7963,https://blog.naver.com/jihae850912,없음
카페700,강서구,서울특별시 강서구 화곡동 918-21,식당/카페,37.53030598,126.844331,0507-1365-3953,,없음
차르도르,관악구,서울특별시 관악구 봉천동 702-102,식당/카페,37.49102821,126.926927,02-875-1999,https://www.instagram.com/chardor_petsalon/,없음
혼자두면장판뜯어서차린개카페,관악구,서울특별시 관악구 봉천동 959-2,식당/카페,37.48512152,126.935676,0507-1400-3058,http://cafe.naver.com/koer00,없음
개라다이스,관악구,서울특별시 관악구 봉천동 968-35,식당/카페,37.48766129,126.932624,0507-1373-8222,http://cafe.naver.com/gaeradise,없음
지니앤독,관악구,서울특별시 관악구 신림동 10-629,식당/카페,37.484358,126.936501,02-3285-7272,http://cafe.naver.com/jinindog,없음
똥강아지들,관악구,서울특별시 관악구 신림동 1538-13,식당/카페,37.46861659,126.937093,02-878-3560,http://cafe.naver.com/ddonggaemongmong,없음
입양뜰,관악구,서울특별시 관악구 신림동 613-13,식당/카페,37.47343267,126.919425,02-6015-6543,,없음
아차산생태공원,광진구,서울특별시 광진구 광장동 5-117,관광지,37.55189708,127.101246,02-450-1192,https://www.gwangjin.go.kr,없음
카페 베이지크,광진구,서울특별시 광진구 자양동 54-5,식당/카페,37.5354829,127.063462,0507-1351-9020,https://www.instagram.com/cafe_basique/,없음
나인페츠 건대점,광진구,서울특별시 광진구 자양동 550-1,식당/카페,37.53581451,127.068397,02-487-0955,https://www.instagram.com/9pets_korea/,없음
애견카페히릿 건대점,광진구,서울특별시 광진구 화양동 111-72,식당/카페,37.5469693,127.074406,070-8870-4442,http://blog.naver.com/cafe_hirit,없음
컵인더스튜디오,광진구,서울특별시 광진구 화양동 46-42,식당/카페,37.54293211,127.067355,02-463-0270,http://www.instagram.com/cupinthestudio,없음
푸른수목원,구로구,서울특별시 구로구 항동 31,관광지,37.48196844,126.823669,02-2686-3200,http://parks.seoul.go.kr/pureun,없음
루프독,노원구,서울특별시 노원구 공릉동 576-24,식당/카페,37.6218244,127.073881,0507-1321-1562,http://www.instagram.com/roofdog1027,10kg 이하
똑똑독,노원구,서울특별시 노원구 상계동 169-77,식당/카페,37.66215509,127.070155,02-930-9997,http://ddokddokdog.modoo.at/,없음
다니맘 수제간식 레스토랑,노원구,서울특별시 노원구 상계동 389-343,식당/카페,37.65969337,127.071017,,https://instagram.com/daneemom?igshid=fmyw8gs34xbq,없음
톨리커피,노원구,서울특별시 노원구 상계동 389-371,식당/카페,37.66018884,127.068065,0507-1345-9868,http://instagram.com/tolly.coffee,없음
케슬리 샌드위치,노원구,서울특별시 노원구 상계동 581-6,식당/카페,37.65944318,127.061532,02-933-8537,http://www.instagram.com/casely_nowon1,없음
발바닥공원,도봉구,서울특별시 도봉구 방학동 270-1,관광지,37.65960856,127.029715,02-2091-2120,https://tour.dobong.go.kr/Contents.asp?code=10003477,없음
몽스낵,도봉구,서울특별시 도봉구 쌍문동 381-23,식당/카페,37.64653232,127.026339,0507-1321-1161,https://www.instagram.com/mongsnack_/,없음
매로우,도봉구,서울특별시 도봉구 창동 560-44,식당/카페,37.63759741,127.039102,0507-1317-1038,http://www.instagram.com/marrow_ryou,없음
우이천 벚꽃길 산책로,도봉구,서울특별시 도봉구 창동 635-42,관광지,37.64173321,127.034772,02-901-6944,https://www.gangbuk.go.kr/www/contents.do?key=705,없음
초안산근린공원 반려견 놀이터,도봉구,서울특별시 도봉구 창동 산 137-6,관광지,37.64529446,127.043146,02-906-7979,,소형
초안산생태공원,도봉구,서울특별시 도봉구 창동 산 158,관광지,37.64717178,127.045951,02-2091-3765,https://tour.dobong.go.kr/Contents.asp?code=10003485,없음
김바니네,동대문구,서울특별시 동대문구 답십리동 21-8,식당/카페,37.5680105,127.057406,0507-1348-9873,http://m.smartstore.naver.com/bunny_k,없음
카페 퍼블리코,동작구,서울특별시 동작구 대방동 395-18,식당/카페,37.49994263,126.925834,02-815-4000,http://www.caffepublico.com/,없음
배추공주와페키들의감성놀이터,동작구,서울특별시 동작구 상도동 490-6,식당/카페,37.49591989,126.953041,,http://blog.naver.com/ilikedogs,없음
프리독애견카페,동작구,서울특별시 동작구 신대방동 364-75,식당/카페,37.49756878,126.922925,070-8628-5314,http://cafe.naver.com/thefreedog,없음
보라매공원 반려견놀이터,동작구,서울특별시 동작구 신대방동 722,관광지,37.49489212,126.919491,02-2124-2835,,없음
staywell cafe,마포구,서울특별시 마포구 공덕동 476,식당/카페,37.54474774,126.948258,02-3273-0408,https://www.instagram.com/s.wellcafe/,소형
마포새빛문화숲,마포구,서울특별시 마포구 당인동 1,관광지,37.54406242,126.919699,02-3153-8114,https://www.mapo.go.kr/site/main/home,없음
코코샌드 카페,마포구,서울특별시 마포구 동교동 148-7,식당/카페,37.55967262,126.925252,02-3144-1112,http://www.instagram.com/cocosand_official,없음
고양이다락방 홍대점,마포구,서울특별시 마포구 동교동 162-14,식당/카페,37.55549336,126.922902,02-3142-3123,http://www.godabang.com/,없음
써니네애견카페,마포구,서울특별시 마포구 동교동 169-29,식당/카페,37.55672181,126.92548,02-334-3712,http://blog.naver.com/sunnynedog,없음
카페 하울링,마포구,서울특별시 마포구 동교동 184-14,식당/카페,37.55585821,126.931122,0507-1331-9948,https://www.instagram.com/cafehowling,없음
빙하기,마포구,서울특별시 마포구 망원동 400-19,식당/카페,37.554773,126.905412,0507-1372-6021,https://www.instagram.com/ice.age_cafe/,없음
카페씨멘트,마포구,서울특별시 마포구 망원동 410-10,식당/카페,37.55609447,126.904267,070-7501-4705,http://instagram.com/cafecment,없음
망원 휴개소,마포구,서울특별시 마포구 망원동 521,식당/카페,37.55314381,126.90274,0507-1322-0735,http://instagram.com/mangwon_huegaeso,없음
펠앤콜,마포구,서울특별시 마포구 상수동 310-11,식당/카페,37.54816344,126.922166,070-4411-1434,https://www.instagram.com/fellncole/,없음
인솔커피 상수점,마포구,서울특별시 마포구 상수동 330-17,식당/카페,37.54712081,126.923552,02-2135-3166,https://www.insolecoffee.com/,없음
카페앤드에이,마포구,서울특별시 마포구 상수동 331-20,식당/카페,37.54602569,126.923763,0507-1307-4364,http://www.instagram.com/cafe_and.a,없음
월드컵공원반려견놀이터,마포구,서울특별시 마포구 상암동 1535,관광지,37.56410596,126.892347,02-2124-2835,https://animal.seoul.go.kr/animalplay/2,없음
평화의 공원,마포구,서울특별시 마포구 상암동 1535,관광지,37.56410596,126.892347,02-300-5576,,없음
난지천공원,마포구,서울특별시 마포구 상암동 1538,관광지,37.57246315,126.887048,02-2236-9134,,없음
월드컵공원,마포구,서울특별시 마포구 상암동 481-6,관광지,37.57159797,126.881674,02-300-5500,http://parks.seoul.go.kr/template/sub/worldcuppark.do,없음
하늘공원,마포구,서울특별시 마포구 상암동 481-72,관광지,37.56907948,126.886318,02-300-5501,,없음
카페식스,마포구,서울특별시 마포구 서교동 334-19,식당/카페,37.55497151,126.927023,02-332-5533,https://twitter.com/cafe_si_x,없음
구름뜬하늘,마포구,서울특별시 마포구 서교동 339-5,식당/카페,37.55414552,126.9271,02-3144-4978,http://www.instagram.com/youngsoo0319,없음
멍멍벅스,마포구,서울특별시 마포구 서교동 366-29,식당/카페,37.55205953,126.92066,070-4512-3435,http://instagram.com/m.m.bucks,"주말, 공휴일 15kg 이하"
마포다방,마포구,서울특별시 마포구 서교동 369-25,식당/카페,37.55281917,126.92081,070-4215-2717,https://mapodabang.modoo.at/,없음
청춘고양이카페,마포구,서울특별시 마포구 서교동 400-11,식당/카페,37.54854519,126.918683,02-6369-5008,http://blog.naver.com/munchkincafe,없음
38도씨식당,마포구,서울특별시 마포구 서교동 409-11,식당/카페,37.54942988,126.921615,0507-1339-8387,https://instagram.com/38docisikdang,없음
fondcoffee,마포구,서울특별시 마포구 서교동 468-20,식당/카페,37.5561191,126.914146,,https://www.instagram.com/fond.coffee/,없음
문화비축기지,마포구,서울특별시 마포구 성산동 670,관광지,37.57034669,126.895031,02-376-8410,http://parks.seoul.go.kr/culturetank,없음
게스트하우스 하하네,마포구,서울특별시 마포구 신수동 308-1,숙소,37.54624807,126.935585,0507-1344-4069,,없음
딩가 케이크,마포구,서울특별시 마포구 연남동 252-18,식당/카페,37.56340375,126.922074,0303-8888-8889,http://instagram.com/dingacakehouse,없음
화산라멘 멘야마쯔리 홍대점,마포구,서울특별시 마포구 창전동 436-7,식당/카페,37.55314837,126.925909,02-336-6907,https://www.instagram.com/volcanoramen/,없음
테이블에이 본점,마포구,서울특별시 마포구 창전동 6,식당/카페,37.5540614,126.929517,02-324-5542,https://www.instagram.com/table_a_cafe,없음
빼꼼하우스,마포구,서울특별시 마포구 합정동 355-12,식당/카페,37.54700048,126.918232,0507-1349-5950,https://www.instagram.com/bbgghouse/,없음
밀루앤라떼,마포구,서울특별시 마포구 합정동 369-4,식당/카페,37.54573429,126.913902,02-6368-0213,,없음
카페버킨,마포구,서울특별시 마포구 합정동 413-2,식당/카페,37.54890587,126.915615,0507-1322-0712,https://www.instagram.com/cafe.birkin/,없음
레이씨,서대문구,서울특별시 서대문구 연희동 124-6,식당/카페,37.56924738,126.929894,0507-1309-4390,https://www.instagram.com/rayc_house/,없음
행복감,서대문구,서울특별시 서대문구 연희동 192-28,식당/카페,37.56634872,126.92755,02-6052-5380,http://instagram.com/happpy_moood,없음
고양이다락방 신촌점,서대문구,서울특별시 서대문구 창천동 33-36,식당/카페,37.55797643,126.936705,,https://instagram.com/sinchoncat,없음
카페 드 에덴,서대문구,서울특별시 서대문구 홍제동 286-13,식당/카페,37.59781258,126.948693,0507-1480-8804,https://www.instagram.com/cafe_de_eden/,없음
반포 한강공원,서초구,서울특별시 서초구 반포동 115-5,관광지,37.50769397,126.992731,02-591-5943,http://hangang.seoul.go.kr/archives/46727,없음
Im,서초구,서울특별시 서초구 반포동 83-17,식당/카페,37.49380373,127.001714,02-593-6700,http://cafe.naver.com/loveandpet,없음
헌드레드일레븐,서초구,서울특별시 서초구 방배동 3001-2,식당/카페,37.48603179,126.983084,,http://www.instagram.com/hundred11,없음
올웨이즈온,서초구,서울특별시 서초구 방배동 451-33,식당/카페,37.47901295,126.983814,02-584-7974,https://www.instagram.com/cafe_alwayson/,없음
동건s애견카페,서초구,서울특별시 서초구 방배동 778-20,식당/카페,37.49314709,126.986172,02-533-8146,http://blog.naver.com/lbc8146,없음
오늘 카페,서초구,서울특별시 서초구 서초동 1467-1,식당/카페,37.47984643,127.006088,02-6439-5428,https://www.instagram.com/cafe._.oneul,없음
엔트런스,서초구,서울특별시 서초구 서초동 1643-32,식당/카페,37.49244178,127.019046,0507-1325-0727,https://www.instagram.com/entrance_cafe/,없음
매헌시민의숲,서초구,서울특별시 서초구 양재동 236,관광지,37.4730498,127.036977,02-575-3895,https://parks.seoul.go.kr/template/sub/citizen.do,없음
양재천근린공원,서초구,서울특별시 서초구 양재동 261-23,관광지,37.47662396,127.041508,02-2155-6896,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=09d42fc7-cfd1-4af5-91ca-7d45e7bf9c36&big_category=A02&mid_category=A0202&big_area=1,없음
도킹,서초구,서울특별시 서초구 양재동 280-10,식당/카페,37.47497221,127.045709,070-7757-1207,,없음
한스펌킨 쇼룸 카페,서초구,서울특별시 서초구 양재동 98-3,식당/카페,37.47623988,127.03988,02-502-1502,https://www.instagram.com/hanspumpkin_cafe/,없음
진쇼니샵,서초구,서울특별시 서초구 잠원동 26-6,식당/카페,37.51446227,127.018471,0507-1351-0626,http://blog.naver.com/jinsyoni3,없음
길마중길,서초구,서울특별시 서초구 잠원동 84-3,관광지,37.51496793,127.015183,02-2155-6860,http://parks.seoul.go.kr/template/sub/namsan.do,없음
JOFREE CAKE,성동구,서울특별시 성동구 성수동1가 198-2,식당/카페,37.53854178,127.048271,0507-1321-6925,https://www.instagram.com/jofreecake/,없음
서울숲,성동구,서울특별시 성동구 성수동1가 685-20,관광지,37.54307015,127.041799,02-460-2905,http://seoulforest.or.kr/,없음
구욱희씨,성동구,서울특별시 성동구 성수동1가 685-271,식당/카페,37.54711029,127.041868,0507-1413-7799,https://www.instagram.com/koowookheecafe/,없음
포동푸딩,성동구,서울특별시 성동구 성수동1가 685-415,식당/카페,37.54711357,127.041014,0507-1360-8308,https://instagram.com/podong_pudding,없음
어라운드데이,성동구,서울특별시 성동구 성수동1가 685-483,식당/카페,37.54686967,127.041271,0507-1431-8310,https://instagram.com/around.day,없음
투테일즈 수제간식,성동구,서울특별시 성동구 성수동1가 95,식당/카페,37.53904486,127.04748,070-8065-3420,http://smartstore.naver.com/2tails,없음
코스모스상점,성동구,서울특별시 성동구 성수동2가 333-140,식당/카페,37.54157394,127.053439,0507-1402-7878,https://www.instagram.com/graystone.flowercafe/,없음
멍박스24 애견셀프목욕 무인카페,성북구,서울특별시 성북구 동선동1가 48,식당/카페,37.59076885,127.017458,0507-1307-0354,https://www.instagram.com/mung_box/,없음
성북구립미술관,성북구,서울특별시 성북구 성북동 246,관광지,37.5948372,126.994887,02-6925-5011,"http://sma.sbculture.or.kr/,",없음
험블커피,송파구,서울특별시 송파구 가락동 157-9,식당/카페,37.49944981,127.126945,02-400-1579,http://instagram.com/humble__coffee/,없음
아망도그플레이스,송파구,서울특별시 송파구 거여동 21-1,식당/카페,37.49425991,127.142522,0507-1361-5982,https://blog.naver.com/adp4929,없음
무스커피,송파구,서울특별시 송파구 방이동 161-3,식당/카페,37.51214973,127.12068,0507-1310-3773,http://www.instagram.com/moose_coffee,없음
르쉬드서울,송파구,서울특별시 송파구 방이동 164-5,식당/카페,37.51207315,127.121824,0507-1305-7922,https://www.instagram.com/lesud_seoul/,없음
방이동고분군,송파구,서울특별시 송파구 방이동 227-13,관광지,37.50712613,127.118957,02-2147-2800,http://www.songpa.go.kr/,없음
올림픽공원,송파구,서울특별시 송파구 방이동 88,관광지,37.5203397,127.115518,02-410-1114,www.ksponco.or.kr/olympicpark,소형/대형
하우디,송파구,서울특별시 송파구 송파동 102-27,식당/카페,37.50395293,127.114997,,http://instagram.com/cafe_how_d,없음
김남매누나,송파구,서울특별시 송파구 송파동 108-14,식당/카페,37.50465287,127.111,0507-1332-9825,http://www.instagram.com/kimbrosis_cafe,없음
라딧프로젝트 카페,송파구,서울특별시 송파구 송파동 15-6,식당/카페,37.50685019,127.106151,0507-1392-7789,http://www.instagram.com/ladit_project,25~30kg
벌스데이,송파구,서울특별시 송파구 송파동 49-3,식당/카페,37.51003227,127.111338,070-8240-0992,http://instagram.com/birthday_gelato,없음
오금근린공원,송파구,서울특별시 송파구 오금동 51,관광지,37.50519118,127.131653,02-2147-3380,,없음
도그존,송파구,서울특별시 송파구 잠실동 204-8,식당/카페,37.50910777,127.083191,070-7720-0427,,없음
카페희재,송파구,서울특별시 송파구 잠실동 223,식당/카페,37.50777404,127.080024,,https://www.instagram.com/cafe_heejae/,없음
킨더독,송파구,서울특별시 송파구 잠실동 336-8,식당/카페,37.50389477,127.087266,02-6959-5979,http://instagram.com/cafe.kinderdog,10kg 이하
아시아공원,송파구,서울특별시 송파구 잠실동 84,관광지,37.51068239,127.075937,02-412-0270,https://parks.seoul.go.kr/parks/detailView.do?pIdx=81,없음
카페커피는,송파구,서울특별시 송파구 풍납동 411-3,식당/카페,37.53053481,127.117432,0507-1324-9354,https://iwjsibal.modoo.at,없음
카페 아리네,양천구,서울특별시 양천구 목동 406-114,식당/카페,37.52537042,126.872716,0507-1384-5735,https://www.instagram.com/cafe_arine_official/?igshid=7omabrzc96h4,없음
카페히든,양천구,서울특별시 양천구 목동 406-122,식당/카페,37.52531958,126.87219,0507-1379-1774,https://www.instagram.com/cafe_hidden_official/,없음
카페멍 목동점,양천구,서울특별시 양천구 목동 406-180,식당/카페,37.52480354,126.874938,02-2644-1351,http://blog.naver.com/cafemung/,없음
카페일월십일,양천구,서울특별시 양천구 목동 730-18,식당/카페,37.53787136,126.864147,0507-1355-3512,https://www.instagram.com/cafe1.10/,없음
별개애견호텔,양천구,서울특별시 양천구 신월동 933-3,식당/카페,37.52268953,126.832589,0507-1335-4441,,없음
선유도근린공원,영등포구,서울특별시 영등포구 당산동 1,관광지,37.54238323,126.901819,02-2631-9368,http://parks.seoul.go.kr/seonyudo,없음
데이비드쥬스,영등포구,서울특별시 영등포구 여의도동 61,식당/카페,37.51859533,126.93963,070-8875-8586,,없음
여의도 이랜드크루즈,영등포구,서울특별시 영등포구 여의도동 85-1,관광지,37.52581426,126.93841,02-6291-6900,http://www.elandcruise.com/,소형/중형
인투고,용산구,서울특별시 용산구 용산동2가 38-9,식당/카페,37.54249833,126.987323,02-795-2090,,없음
용산가족공원,용산구,서울특별시 용산구 용산동6가 168-6,관광지,37.52470224,126.97774,02-792-5661,,없음
드로우지,용산구,서울특별시 용산구 이태원동 2-5,식당/카페,37.54098714,126.99554,02-790-2322,http://www.instagram.com/insolecoffee,없음
코셔엘리푸드,용산구,서울특별시 용산구 이태원동 224-56,식당/카페,37.53856905,126.989942,0507-1401-8222,,없음
버클리커피소셜,용산구,서울특별시 용산구 이태원동 255-32,식당/카페,37.54097919,126.99054,02-792-2048,https://www.facebook.com/berkeleycoffeesocial,없음
소월집,용산구,서울특별시 용산구 이태원동 258-228,식당/카페,37.54112215,126.992778,070-8156-5459,http://instagram.com/sowolzip,없음
남산야외식물원,용산구,서울특별시 용산구 이태원동 259-16,관광지,37.54297029,126.994588,02-798-3771,https://parks.seoul.go.kr/template/sub/namsan.do,없음
디어앨리스,용산구,서울특별시 용산구 이태원동 455-23,식당/카페,37.53445875,126.988644,0507-1435-1643,https://www.instagram.com/dear.alice2021/,없음
uphill namsan,용산구,서울특별시 용산구 이태원동 5-27,식당/카페,37.54007672,126.994298,02-790-1730,,없음
안티 스트레스,용산구,서울특별시 용산구 이태원동 72-26,식당/카페,37.53380153,126.992876,0507-1309-6535,http://www.instagram.com/antistress_seoul,없음
한남베르그,용산구,서울특별시 용산구 한남동 683-52,식당/카페,37.53597243,127.000958,0507-1331-1750,https://www.instagram.com/hannam_berg/,없음
원인어밀리언,용산구,서울특별시 용산구 한남동 684-62,식당/카페,37.5370311,127.001951,02-794-2414,http://www.instagram.com/oneinamillion_cafe/,없음
올드페리도넛,용산구,서울특별시 용산구 한남동 727-21,식당/카페,37.53959965,127.003,02-6015-2022,http://www.oldferrydonut.com/,없음
아이라이크마운틴,용산구,서울특별시 용산구 한남동 753-9,식당/카페,37.53303616,126.998938,0507-1352-1025,https://www.instagram.com/ilikemountain/,없음
선데이사운즈,용산구,서울특별시 용산구 후암동 404-37,식당/카페,37.54744856,126.981548,0507-1359-8810,https://www.instagram.com/sunday.sounds/,없음
도그원 애견카페,은평구,서울특별시 은평구 갈현동 452-1,식당/카페,37.61943907,126.91759,02-357-1591,http://blog.naver.com/cafedog1,없음
개상전 애견카페,은평구,서울특별시 은평구 대조동 14-27,식당/카페,37.61021895,126.929202,070-4404-1212,https://www.instagram.com/gaesangjeon/?utm_source=ig_profile_share&igshid=p7pa7v4n8y9z,없음
런닝독 응암점,은평구,서울특별시 은평구 응암동 585-10,식당/카페,37.59145765,126.915154,0507-1382-7796,https://blog.naver.com/minirrr79,소형
디어도그,은평구,서울특별시 은평구 응암동 752-5,식당/카페,37.5868254,126.91997,02-303-9690,http://www.instagram.com/deardog_charming,없음
은평역사한옥박물관,은평구,서울특별시 은평구 진관동 135-5,관광지,37.64033363,126.938008,02-351-8524,museum.ep.go.kr,없음
